Id,Label,Role,Community,support_given,support_received,activity
SiapaNa73871770,SiapaNa73871770,penolong,1,1,0,1
FairuzitaP65456,FairuzitaP65456,penolong,8,1,0,1
plengens,plengens,korban,102,0,1,1
NoturfavBoys9,NoturfavBoys9,penolong,15,1,0,1
captcyin,captcyin,penolong,15,1,0,1
somexrecom,somexrecom,korban,79,0,1,1
Hortensia_v00,Hortensia_v00,penolong,79,1,0,1
equilibriumdots,equilibriumdots,korban,78,0,1,1
fhmeekubrick,fhmeekubrick,penolong,78,1,0,1
papedahottie,papedahottie,korban,77,0,1,1
fajjiw,fajjiw,penolong,94,1,0,1
arman_dhani,arman_dhani,korban,3,0,1,1
tir_mcdohll,tir_mcdohll,penolong,14,1,0,1
ero_sennin59309,ero_sennin59309,korban,1,0,1,1
ardisatriawan,ardisatriawan,korban,86,0,1,1
GMCsuburbanv8,GMCsuburbanv8,penolong,86,1,0,1
sevengolae,sevengolae,korban,85,0,1,1
Frankenwenie,Frankenwenie,penolong,85,1,0,1
bujangteyvat,bujangteyvat,korban,3,0,1,1
bebelacsekilo,bebelacsekilo,penolong,87,1,0,1
cutieynor,cutieynor,korban,95,0,1,1
Babypiping,Babypiping,penolong,95,1,0,1
permenenakkk,permenenakkk,korban,94,0,1,1
ProdArchitech,ProdArchitech,penolong,107,1,0,1
raniacalista_,raniacalista_,korban,93,0,1,1
_marisambat,_marisambat,penolong,93,1,0,1
mario_an19,mario_an19,penolong,84,1,0,1
zksrzkshmr,zksrzkshmr,penolong,88,1,0,1
akushoegazee,akushoegazee,penolong,1,1,0,1
ByakuyaSho,ByakuyaSho,korban,91,0,1,1
AlanseSaputra,AlanseSaputra,penolong,91,1,0,1
aera_ry,aera_ry,korban,90,0,1,1
SoundOfYogi,SoundOfYogi,penolong,90,1,0,1
_katakita08,_katakita08,korban,89,0,1,1
bapaknyakeen,bapaknyakeen,penolong,89,1,0,1
istopjeeting,istopjeeting,korban,88,0,1,1
toly1234567890,toly1234567890,korban,3,0,1,1
noirzaa,noirzaa,korban,6,0,1,1
Prodigy465604,Prodigy465604,korban,134,0,1,1
cintayve,cintayve,penolong,134,1,0,1
luvnekh,luvnekh,korban,133,0,1,1
bananaww16,bananaww16,penolong,133,1,0,1
theyycallmebass,theyycallmebass,korban,132,0,1,1
farhanzlkr,farhanzlkr,penolong,132,1,0,1
moviemnfs,moviemnfs,korban,131,0,1,1
r00teen,r00teen,korban,7,0,1,1
fatwahatiku,fatwahatiku,korban,130,0,1,1
aka678,aka678,penolong,130,1,0,1
MyBeeYoongi,MyBeeYoongi,korban,129,0,1,1
sherinuull,sherinuull,penolong,129,1,0,1
rang_simabua,rang_simabua,korban,110,0,1,1
bubblegunnskies,bubblegunnskies,penolong,122,1,0,1
BaseAnakFK,BaseAnakFK,korban,121,0,1,1
kakakamri,kakakamri,penolong,121,1,0,1
godspeeedss,godspeeedss,penolong,131,1,0,1
ohmy_beautybank,ohmy_beautybank,korban,19,0,1,1
qutiews,qutiews,korban,29,0,1,1
twelvevin,twelvevin,penolong,29,1,0,1
Meinangcibu,Meinangcibu,korban,28,0,1,1
itsmeeoowww,itsmeeoowww,penolong,28,1,0,1
sbmptnfess,sbmptnfess,korban,27,0,1,1
estelliumce,estelliumce,penolong,27,1,0,1
FARHAN2Humanity,FARHAN2Humanity,korban,26,0,1,1
calonnMagisterr,calonnMagisterr,penolong,135,1,0,1
Sprinkleeaicee,Sprinkleeaicee,korban,25,0,1,1
lilylolzx,lilylolzx,penolong,25,1,0,1
chitchatfess,chitchatfess,korban,24,0,1,1
sektemenyamping,sektemenyamping,penolong,24,1,0,1
trafalgray,trafalgray,korban,23,0,1,1
himitsu_desu,himitsu_desu,penolong,23,1,0,1
18fesss,18fesss,korban,135,0,1,1
madeleivraie,madeleivraie,korban,22,0,1,1
jooqoowee,jooqoowee,penolong,26,1,0,1
hupgupta,hupgupta,penolong,18,1,0,1
topitlala,topitlala,penolong,0,1,0,1
RaNn_Clash,RaNn_Clash,penolong,18,1,0,1
Jostwn99,Jostwn99,korban,111,0,1,1
emptyofsidehey,emptyofsidehey,penolong,111,1,0,1
rendyrahadii,rendyrahadii,penolong,16,1,0,1
fess10nopember,fess10nopember,korban,99,0,1,1
HumorJonTampan,HumorJonTampan,penolong,110,1,0,1
iteramfs,iteramfs,korban,120,0,1,1
Xoell5,Xoell5,penolong,109,1,0,1
mirrorballhues,mirrorballhues,korban,108,0,1,1
wonfeelmyhear,wonfeelmyhear,penolong,108,1,0,1
belahanjiwah,belahanjiwah,penolong,2,1,0,1
chiwbhai,chiwbhai,korban,84,0,1,1
rawongranat,rawongranat,penolong,17,1,0,1
lukasyakobus,lukasyakobus,penolong,17,1,0,1
citrapranajaya,citrapranajaya,korban,107,0,1,1
yomemibuzz,yomemibuzz,korban,109,0,1,1
salwiyyi,salwiyyi,penolong,120,1,0,1
oosirxx,oosirxx,korban,119,0,1,1
UnderSunRice,UnderSunRice,penolong,119,1,0,1
lynqisx,lynqisx,penolong,12,1,0,1
hut4sob4k,hut4sob4k,penolong,0,1,0,1
Lawnngroup,Lawnngroup,korban,118,0,1,1
RamaUsman7,RamaUsman7,penolong,118,1,0,1
fluoxetan,fluoxetan,korban,117,0,1,1
grxmann,grxmann,penolong,112,1,0,1
nestrasilova,nestrasilova,korban,105,0,1,1
liaasister,liaasister,penolong,116,1,0,1
koushiespede,koushiespede,korban,115,0,1,1
tobio_hun,tobio_hun,penolong,115,1,0,1
unknowpersonie,unknowpersonie,korban,114,0,1,1
Ideationsm,Ideationsm,penolong,114,1,0,1
kdrama_menfess,kdrama_menfess,korban,113,0,1,1
SuezLoverz,SuezLoverz,penolong,113,1,0,1
baguslifandry,baguslifandry,korban,112,0,1,1
soularebels,soularebels,penolong,117,1,0,1
denaaskh,denaaskh,korban,36,0,1,1
eclairedelange,eclairedelange,penolong,36,1,0,1
writtenbyalee,writtenbyalee,korban,35,0,1,1
Leankalynson,Leankalynson,penolong,35,1,0,1
oitarie,oitarie,penolong,10,1,0,1
K4893Al,K4893Al,penolong,16,1,0,1
RudiSitanggang9,RudiSitanggang9,korban,34,0,1,1
Dobel_Step,Dobel_Step,penolong,34,1,0,1
palewitt,palewitt,penolong,30,1,0,1
cryptogem1000,cryptogem1000,penolong,47,1,0,1
vijestar__,vijestar__,korban,46,0,1,1
taqibalqibul,taqibalqibul,penolong,46,1,0,1
ziyech1610,ziyech1610,korban,45,0,1,1
kriminologee,kriminologee,penolong,9,1,0,1
innovaraibon,innovaraibon,penolong,0,1,0,1
physicalyz,physicalyz,penolong,8,1,0,1
arettanaina,arettanaina,penolong,7,1,0,1
Latifayaaa,Latifayaaa,korban,47,0,1,1
AyanggaHK,AyanggaHK,korban,57,0,1,1
_arnve,_arnve,penolong,45,1,0,1
sleepygoldnstrm,sleepygoldnstrm,korban,44,0,1,1
Pabak0y,Pabak0y,penolong,44,1,0,1
starfess,starfess,korban,43,0,1,1
GL_ThaiLove,GL_ThaiLove,penolong,43,1,0,1
Alter_GenZ,Alter_GenZ,korban,42,0,1,1
kastorisius,kastorisius,penolong,42,1,0,1
Ferdyy236,Ferdyy236,penolong,37,1,0,1
thinkerlova,thinkerlova,penolong,41,1,0,1
Leoni_laa,Leoni_laa,korban,40,0,1,1
PaklekNgalam,PaklekNgalam,penolong,40,1,0,1
blekriver,blekriver,penolong,53,1,0,1
varian65636,varian65636,korban,52,0,1,1
Cowhead606,Cowhead606,penolong,52,1,0,1
Gooners848394,Gooners848394,penolong,11,1,0,1
AsepKurnia2810,AsepKurnia2810,korban,51,0,1,1
_Monsoonrain,_Monsoonrain,korban,41,0,1,1
kejutam,kejutam,penolong,123,1,0,1
llynaissance,llynaissance,korban,122,0,1,1
aku_fiv,aku_fiv,korban,33,0,1,1
regasregra,regasregra,penolong,33,1,0,1
disneysprncs,disneysprncs,penolong,9,1,0,1
suakamalaikat,suakamalaikat,penolong,19,1,0,1
bvtrass,bvtrass,korban,30,0,1,1
twitnyapimma,twitnyapimma,korban,116,0,1,1
Indouncensored,Indouncensored,korban,32,0,1,1
BangPino__,BangPino__,korban,127,0,1,1
Survive6969,Survive6969,penolong,128,1,0,1
ngemtot,ngemtot,korban,128,0,1,1
insanemnth,insanemnth,penolong,22,1,0,1
pratiwi_ii26534,pratiwi_ii26534,korban,21,0,1,1
UTINGUKIPWINING,UTINGUKIPWINING,penolong,21,1,0,1
tiramisuslice_,tiramisuslice_,korban,20,0,1,1
TipeDarah,TipeDarah,penolong,20,1,0,1
aalim_ashari,aalim_ashari,penolong,127,1,0,1
L4t3N1t3L4tt3,L4t3N1t3L4tt3,penolong,32,1,0,1
TaterTots1014,TaterTots1014,korban,31,0,1,1
zxbingvh,zxbingvh,penolong,31,1,0,1
thettabbycat,thettabbycat,korban,39,0,1,1
Lightindar,Lightindar,penolong,39,1,0,1
yawzzy_,yawzzy_,korban,38,0,1,1
aestheticusrnm,aestheticusrnm,penolong,38,1,0,1
Vincoraff,Vincoraff,korban,37,0,1,1
sedowbened,sedowbened,korban,123,0,1,1
fagggotcytosis,fagggotcytosis,korban,126,0,1,1
siraruuu,siraruuu,penolong,126,1,0,1
Limhoodx,Limhoodx,korban,6,0,1,1
AnakLolina2,AnakLolina2,korban,125,0,1,1
ZFibid,ZFibid,penolong,125,1,0,1
yeolshvn,yeolshvn,korban,124,0,1,1
jichanxm,jichanxm,penolong,124,1,0,1
choco__pie00,choco__pie00,penolong,4,1,0,1
cintamwu,cintamwu,penolong,4,1,0,1
cloriavey,cloriavey,korban,62,0,1,1
anakayahg,anakayahg,penolong,2,1,0,1
RatuGercep,RatuGercep,penolong,10,1,0,1
bakulsemongko1,bakulsemongko1,penolong,2,1,0,1
premorterm,premorterm,penolong,77,1,0,1
Toniqufp,Toniqufp,korban,76,0,1,1
jeefri95,jeefri95,penolong,76,1,0,1
bLxCoffee,bLxCoffee,penolong,13,1,0,1
putsalss,putsalss,penolong,58,1,0,1
mahardikapi,mahardikapi,penolong,75,1,0,1
TEDJ0E_,TEDJ0E_,penolong,13,1,0,1
FaseDewasa_,FaseDewasa_,korban,63,0,1,1
wijayaaksmaa,wijayaaksmaa,penolong,63,1,0,1
omoletooo,omoletooo,penolong,62,1,0,1
TrSutrisna,TrSutrisna,penolong,5,1,0,1
just3xist,just3xist,korban,61,0,1,1
decalcomaniact,decalcomaniact,penolong,61,1,0,1
worksfess,worksfess,korban,75,0,1,1
frosbide,frosbide,korban,74,0,1,1
frrnbtst246,frrnbtst246,penolong,74,1,0,1
xpeacessea,xpeacessea,korban,73,0,1,1
Ay_ri_ni,Ay_ri_ni,penolong,73,1,0,1
Allurealm,Allurealm,korban,72,0,1,1
wtfahmi1105,wtfahmi1105,penolong,72,1,0,1
penikmat_koopie,penikmat_koopie,penolong,14,1,0,1
Houreyam_Teuing,Houreyam_Teuing,korban,83,0,1,1
wh0sknow,wh0sknow,penolong,67,1,0,1
_afterpartyguy,_afterpartyguy,korban,82,0,1,1
ttorroo,ttorroo,penolong,82,1,0,1
indischetroopen,indischetroopen,korban,81,0,1,1
ibaladi,ibaladi,penolong,81,1,0,1
yunesafess,yunesafess,korban,80,0,1,1
PranaZoe,PranaZoe,penolong,80,1,0,1
gelempeiye,gelempeiye,penolong,68,1,0,1
adanginyah,adanginyah,korban,67,0,1,1
vcdkz,vcdkz,penolong,83,1,0,1
lrstdw_,lrstdw_,korban,65,0,1,1
enunndss,enunndss,penolong,65,1,0,1
ahmadfaisyal_,ahmadfaisyal_,korban,64,0,1,1
pinkyvioleta14,pinkyvioleta14,penolong,64,1,0,1
s4h4b4tl4m4,s4h4b4tl4m4,penolong,51,1,0,1
urya_suryana,urya_suryana,penolong,0,1,0,1
kepobgtlu00,kepobgtlu00,korban,50,0,1,1
dhflvldk,dhflvldk,penolong,50,1,0,1
bibimguksue,bibimguksue,korban,60,0,1,1
leny_drr,leny_drr,penolong,49,1,0,1
RizkQkQ1,RizkQkQ1,penolong,11,1,0,1
rettashmg,rettashmg,korban,48,0,1,1
kuya_darat,kuya_darat,penolong,48,1,0,1
nyxisthenight,nyxisthenight,penolong,60,1,0,1
sultanfrozen,sultanfrozen,korban,59,0,1,1
Sniffing_Lead,Sniffing_Lead,penolong,59,1,0,1
kancil_rusa,kancil_rusa,korban,58,0,1,1
rizz_ry,rizz_ry,korban,49,0,1,1
eombriella,eombriella,korban,71,0,1,1
backburnerey,backburnerey,penolong,71,1,0,1
illbertinsane,illbertinsane,korban,70,0,1,1
eveningsunkiss,eveningsunkiss,penolong,70,1,0,1
Bambangmulyonoo,Bambangmulyonoo,korban,69,0,1,1
Thex460202,Thex460202,penolong,69,1,0,1
sisigelapk5086,sisigelapk5086,korban,68,0,1,1
biduanssa,biduanssa,penolong,57,1,0,1
arkadraws,arkadraws,penolong,66,1,0,1
valenttt____,valenttt____,korban,56,0,1,1
Saham_fess,Saham_fess,penolong,56,1,0,1
kataomoy,kataomoy,korban,55,0,1,1
thekiddxssfive,thekiddxssfive,penolong,55,1,0,1
RaitooYagaami,RaitooYagaami,korban,54,0,1,1
d13d666,d13d666,penolong,54,1,0,1
PecintaSejarah2,PecintaSejarah2,korban,53,0,1,1
bennysiauw89,bennysiauw89,korban,66,0,1,1
sakurikuu,sakurikuu,korban,12,0,1,1
wahanakoa,wahanakoa,terisolasi,-1,0,0,0
Cygta_12,Cygta_12,terisolasi,-1,0,0,0
dearbibii,dearbibii,terisolasi,-1,0,0,0
ri_gerimissenja,ri_gerimissenja,terisolasi,-1,0,0,0
no1melonlover,no1melonlover,terisolasi,-1,0,0,0
unnayaha,unnayaha,terisolasi,-1,0,0,0
sansan_sane,sansan_sane,terisolasi,-1,0,0,0
yourvirtualbf_,yourvirtualbf_,terisolasi,-1,0,0,0
nirfungsih,nirfungsih,terisolasi,-1,0,0,0
daisevelle,daisevelle,terisolasi,-1,0,0,0
Spqrxie,Spqrxie,terisolasi,-1,0,0,0
Penelovie,Penelovie,terisolasi,-1,0,0,0
